R,E_HF,E_CCSD,E_CCSD_T
0.700000,-107.613566881789,-107.841151290623,-107.845367850517
0.800000,-108.407358634480,-108.654628342960,-108.660024662206
0.900000,-108.782798935460,-109.050061096756,-109.057064073304
1.000000,-108.929838385609,-109.217788418554,-109.226934298380
1.100000,-108.953796240891,-109.263577315164,-109.275510254991
1.200000,-108.914051975052,-109.247057509514,-109.262511835888
1.300000,-108.843887594775,-109.201508658061,-109.221285788801
1.400000,-108.761718000068,-109.145178890163,-109.170140394127
1.500000,-108.677513841466,-109.087876237691,-109.118989497093
1.600000,-108.596373327764,-109.034728378647,-109.073217622550
1.700000,-108.520608157550,-108.988450369575,-109.036121950478
1.800000,-108.451043240343,-108.950833359555,-109.010672258364
1.900000,-108.387780639190,-108.923729122065,-109.000911584044
2.000000,-108.330582753660,-108.909520701338,-109.012859808683
2.100000,-108.279045232639,-108.910043686576,-109.052416685209
2.200000,-108.232686196929,-108.922556988518,-109.115934413088
2.300000,-108.191003453290,-108.939401692759,-109.187290006148
